"","RMSE","Rankcorrellation","SD'","SD","NMB","R","NMSD","MEF"
"CO2_Sound",0.716,0.616,0.558,0.868,0.00318062901036021,0.569202170768502,NA,NA
"CO2_Traffic",0.79,0.695,0.656,1.082,0.00044110557624374,0.684607966063997,NA,NA
"CO2_Time",1.09,0.665,NA,1.066,-0.0421276015646507,0.657871158882944,NA,NA
"NH3_Sound",8.314,0.632,5.54,10.559,-0.118212506406478,0.64774083531413,NA,NA
"NH3_Traffic",13.474,0.239,7.667,12.427,0.204916731463906,0.233650606855361,NA,NA
"NH3_Time",11.968,0.403,4.307,12.073,0.312070057508299,0.329104638452859,NA,NA
"NO_Sound",17.207,0.531,10.395,19.661,-0.0141557892510578,0.478439418186739,NA,NA
"NO_Traffic",16.017,0.751,21.107,22.433,-0.133013512305218,0.738557933247404,NA,NA
"NO_Time",21.893,0.39,12.078,22.799,-0.16126219573951,0.34583416182993,NA,NA
"NO2_Sound",5.24,0.816,0.548,9.496,0.0917547965565141,0.877707272261602,NA,NA
"NO2_Traffic",5.092,0.83,0.422,8.732,-0.0174362992825923,0.811599942517684,NA,NA
"NO2_Time",3.811,0.881,9.115,9.416,-0.00247977393545861,0.915034912979442,NA,NA
"NOx_Sound",16.683,0.761,20.706,24.359,0.132673104658566,0.751495981929475,NA,NA
"NOx_Traffic",32.82,0.703,17.756,29.728,-0.593691020766655,0.645937647111271,NA,NA
"NOx_Time",19.983,0.685,21.021,27.848,-0.0447443804979419,0.697871525139861,NA,NA
"O3_Sound",7.372,0.737,4.168,1.828,0.29357521244428,0.749620549907012,NA,NA
"O3_Traffic",5.774,0.811,0.722,8.211,-0.27067917361178,0.820745274167254,NA,NA
"O3_Time",4.526,0.87,7.506,9.081,-0.0570819532708727,0.871271573675491,NA,NA
"PM1_Sound",0.014,0.188,0.551,0.014,-0.203585987646085,0.315403334325011,NA,NA
"PM1_Traffic",0.01,0.289,NA,0.01,-0.0480147652118324,0.239967323421546,NA,NA
"PM1_Time",0.009,0.416,0.006,0.009,-0.140856318543516,0.384164115857163,NA,NA
"PM2.5_Sound",0.009,0.384,0.008,0.011,0.0487678601299476,0.586993882396261,NA,NA
"PM2.5_Traffic",0.013,0.192,0.002,0.012,-0.282908422036748,0.35285273621061,NA,NA
"PM2.5_Time",0.014,0.149,NA,0.013,0.226646189232943,0.163267217172882,NA,NA
"PM10_Sound",0.057,0.148,0.016,0.062,0.0657808402904398,0.399900361505742,NA,NA
"PM10_Traffic",0.05,0.658,0.74,0.057,-0.0669718544535428,0.535514937712523,NA,NA
"PM10_Time",0.078,0.519,NA,0.086,-0.130653625581351,0.424817848243871,NA,NA
"PN10_Sound",15915.23,0.524,0.922,14945.982,-0.318223683423691,0.44927406105715,NA,NA
"PN10_Traffic",12872.741,0.249,375.384,13022.653,0.00205190128816761,0.253274774408518,NA,NA
"PN10_Time",11934.465,0.445,8858.018,12321.343,-0.0024364772891027,0.39658607356869,NA,NA
